Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,0.1u,C307331
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-323,16,1N4148WS,C2128
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J2,PinHeader_1x12_P1.27mm_Vertical,1,Conn_01x12,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",YS-SK6812MINI-E,16,YS-SK6812MINI-E,
R1,0402,1,7.6k,C4109
R2,1206,1,100k,C17900
R3,0402,1,10k,C25744
"S1, S2, S3, S4, S5",ENCODER_LED_3,5,ENCODER-RGB-SWITCH,
S6,SW_RKJXV122400R,1,RKJXV122400R,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",CherryMX_Hotswap,16,SW_Push,
SW17,SW_PUSH_6mm_H5mm,1,SW_Push,
U1,ProMicro_v3,1,ProMicro_r,
U2,SSOP-24_5.3x8.2mm_P0.65mm,1,XL9555,C609791
U3,QFN-28-1EP_4x4mm_P0.4mm_EP2.4x2.4mm,1,IS31FL3208A,C2940551
